"subjects","betas","laterality","stimulus_type","superior_inferior"
1,75.8382085180538,"Left","Neutral","Superior Colliculi"
2,-96.2232202643241,"Left","Neutral","Superior Colliculi"
3,20.2596418780406,"Left","Neutral","Superior Colliculi"
4,278.860734483593,"Left","Neutral","Superior Colliculi"
5,60.446202037754,"Left","Neutral","Superior Colliculi"
6,93.5825689286304,"Left","Neutral","Superior Colliculi"
7,-71.8416710580803,"Left","Neutral","Superior Colliculi"
8,42.0330014778366,"Left","Neutral","Superior Colliculi"
9,-7.3532953707452,"Left","Neutral","Superior Colliculi"
10,-63.7404956838052,"Left","Neutral","Superior Colliculi"
11,14.9924887024842,"Left","Neutral","Superior Colliculi"
1,178.308233754708,"Left","Aversive","Superior Colliculi"
2,-45.2331235620976,"Left","Aversive","Superior Colliculi"
3,172.179379147511,"Left","Aversive","Superior Colliculi"
4,-8.16294480874321,"Left","Aversive","Superior Colliculi"
5,124.01158544273,"Left","Aversive","Superior Colliculi"
6,57.7809742396225,"Left","Aversive","Superior Colliculi"
7,145.471067379985,"Left","Aversive","Superior Colliculi"
8,240.096222722847,"Left","Aversive","Superior Colliculi"
9,202.639004233327,"Left","Aversive","Superior Colliculi"
10,93.3112958194133,"Left","Aversive","Superior Colliculi"
11,180.196889590858,"Left","Aversive","Superior Colliculi"
1,56.7393133501587,"Left","Neutral","Inferior Colliculi"
2,-101.600074126383,"Left","Neutral","Inferior Colliculi"
3,30.9854556490993,"Left","Neutral","Inferior Colliculi"
4,-115.833719259905,"Left","Neutral","Inferior Colliculi"
5,-62.5614236969191,"Left","Neutral","Inferior Colliculi"
6,-306.43164023301,"Left","Neutral","Inferior Colliculi"
7,-54.4034340410812,"Left","Neutral","Inferior Colliculi"
8,48.2272889922427,"Left","Neutral","Inferior Colliculi"
9,-167.017088324934,"Left","Neutral","Inferior Colliculi"
10,-142.454591682814,"Left","Neutral","Inferior Colliculi"
11,-54.7082512477221,"Left","Neutral","Inferior Colliculi"
1,41.3286656827669,"Left","Aversive","Inferior Colliculi"
2,-92.3309898016917,"Left","Aversive","Inferior Colliculi"
3,0.781108776293687,"Left","Aversive","Inferior Colliculi"
4,23.6796950076688,"Left","Aversive","Inferior Colliculi"
5,-118.400594002636,"Left","Aversive","Inferior Colliculi"
6,-15.1860792547613,"Left","Aversive","Inferior Colliculi"
7,-94.5574028435407,"Left","Aversive","Inferior Colliculi"
8,-109.225036530946,"Left","Aversive","Inferior Colliculi"
9,-68.781750234317,"Left","Aversive","Inferior Colliculi"
10,46.9569301630522,"Left","Aversive","Inferior Colliculi"
11,-64.5166484694846,"Left","Aversive","Inferior Colliculi"
1,174.860347539071,"Right","Neutral","Superior Colliculi"
2,-30.1797750553034,"Right","Neutral","Superior Colliculi"
3,99.5671875902213,"Right","Neutral","Superior Colliculi"
4,265.91958779078,"Right","Neutral","Superior Colliculi"
5,76.6443904020234,"Right","Neutral","Superior Colliculi"
6,118.225294725779,"Right","Neutral","Superior Colliculi"
7,10.5886443882947,"Right","Neutral","Superior Colliculi"
8,25.3635907038537,"Right","Neutral","Superior Colliculi"
9,0.720327380040658,"Right","Neutral","Superior Colliculi"
10,-72.8308892111666,"Right","Neutral","Superior Colliculi"
11,74.8827405735688,"Right","Neutral","Superior Colliculi"
1,196.932413998625,"Right","Aversive","Superior Colliculi"
2,62.1576683199392,"Right","Aversive","Superior Colliculi"
3,130.425136640976,"Right","Aversive","Superior Colliculi"
4,39.6415547623385,"Right","Aversive","Superior Colliculi"
5,208.240281598123,"Right","Aversive","Superior Colliculi"
6,159.737827288717,"Right","Aversive","Superior Colliculi"
7,131.190139250148,"Right","Aversive","Superior Colliculi"
8,495.680902787568,"Right","Aversive","Superior Colliculi"
9,126.909682088349,"Right","Aversive","Superior Colliculi"
10,226.497449835935,"Right","Aversive","Superior Colliculi"
11,245.485255956181,"Right","Aversive","Superior Colliculi"
1,165.296957257558,"Right","Neutral","Inferior Colliculi"
2,5.35984077106658,"Right","Neutral","Inferior Colliculi"
3,34.2909873709243,"Right","Neutral","Inferior Colliculi"
4,-87.0471538532304,"Right","Neutral","Inferior Colliculi"
5,-158.112670265078,"Right","Neutral","Inferior Colliculi"
6,-199.589627614197,"Right","Neutral","Inferior Colliculi"
7,-17.6260928675128,"Right","Neutral","Inferior Colliculi"
8,-163.205026707259,"Right","Neutral","Inferior Colliculi"
9,2.85980197106244,"Right","Neutral","Inferior Colliculi"
10,-293.736832656229,"Right","Neutral","Inferior Colliculi"
11,39.9288735511211,"Right","Neutral","Inferior Colliculi"
1,98.166779652256,"Right","Aversive","Inferior Colliculi"
2,87.9818818029306,"Right","Aversive","Inferior Colliculi"
3,38.9959729494303,"Right","Aversive","Inferior Colliculi"
4,169.947767202361,"Right","Aversive","Inferior Colliculi"
5,19.5347357382847,"Right","Aversive","Inferior Colliculi"
6,-60.9535235943882,"Right","Aversive","Inferior Colliculi"
7,-80.4805651015081,"Right","Aversive","Inferior Colliculi"
8,-215.369873090729,"Right","Aversive","Inferior Colliculi"
9,-98.9111672938449,"Right","Aversive","Inferior Colliculi"
10,202.285188404611,"Right","Aversive","Inferior Colliculi"
11,34.8883415671911,"Right","Aversive","Inferior Colliculi"
