"Subjects","SC_left_Aversive","SC_left_Neutral","SC_right_Aversive","SC_right_Neutral","IC_left_Aversive","IC_left_Neutral","IC_right_Aversive","IC_right_Neutral"
"1",204.363394208243,68.8650949333559,194.004139783357,179.871979063843,-20.0988657763726,9.83904165764871,85.2203402972035,162.802411688807
"2",-150.662082628387,-44.1992650591559,-63.8358082489372,-52.6293765854374,-134.427252218104,-108.282872947988,128.801964466448,86.693714357029
"3",233.053936876654,82.2453804714207,55.0426038360692,72.7814928356942,143.260658671377,65.3878361038394,149.495867064743,103.487704709557
"4",-43.7829259291189,297.008306218294,-61.7868542162789,77.2760736174288,13.4133214830421,-136.002963503211,102.942031834063,-99.1618540581544
"5",304.548119576353,51.8696154597675,203.152803970383,17.996006683337,34.5137534095354,-37.53857250369,-17.6065199069062,-163.025460761391
"6",146.100004669095,61.8743840044137,207.296550374563,96.7477876033183,-13.6354897956394,-269.003746917297,-136.86427436632,-187.009958503815
"7",133.901174538711,-52.8022074643321,141.792132187079,63.5029560311789,-121.668773029871,-104.986127758649,-56.5000523534118,14.3485403728532
"8",193.90819624784,-69.2898820581081,407.633326143678,68.3780893419672,-163.369410664784,-34.7488661837588,-210.232843889185,58.6580473076591
"9",214.574494113448,-40.6533398393722,114.484437987572,-55.1939426112368,-43.787305649581,-203.440384513121,82.8504528329994,17.2462501089515
"10",110.664478316887,-172.410678195427,195.506595800373,-71.4421681725026,27.2962065651634,-137.263897874252,186.560665056948,-344.898794622569
"11",149.806779829406,106.494205691219,213.478520055314,194.544598235811,-65.7711786668635,67.1396508716391,49.7071403447175,161.701183145543
